Season,Date,Visitor,Visit_League,Home,HomeLeague,VisitScore,HomeScore
2000,5/2/2000,TEX,AL,TBA,AL,8,1
2000,5/3/2000,HOU,NL,CHN,NL,3,4
2000,5/3/2000,MON,NL,COL,NL,7,16
2000,5/3/2000,ATL,NL,LAN,NL,4,6
2000,5/3/2000,ARI,NL,MIL,NL,1,4
2000,5/3/2000,CIN,NL,PHI,NL,2,5
2000,5/3/2000,FLO,NL,SDN,NL,1,3
2000,5/3/2000,NYN,NL,SFN,NL,5,8
2000,5/3/2000,PIT,NL,SLN,NL,8,2
2000,5/3/2000,ANA,AL,BAL,AL,6,5
2000,5/3/2000,DET,AL,BOS,AL,2,4
2000,5/3/2000,TOR,AL,CHA,AL,3,7
2000,5/3/2000,NYA,AL,CLE,AL,6,5
2000,5/3/2000,OAK,AL,KCA,AL,14,5
2000,5/3/2000,SEA,AL,MIN,AL,4,5
2000,5/3/2000,TEX,AL,TBA,AL,5,1
2000,5/4/2000,HOU,NL,CHN,NL,6,2
2000,5/4/2000,ARI,NL,MIL,NL,6,2
2000,5/4/2000,CIN,NL,PHI,NL,1,14
2000,5/4/2000,NYN,NL,SFN,NL,2,7
2000,5/4/2000,PIT,NL,SLN,NL,0,5
2000,5/4/2000,ANA,AL,BAL,AL,8,5
2000,5/4/2000,DET,AL,MIN,AL,8,6
2000,5/4/2000,TEX,AL,TBA,AL,7,8
2000,5/4/2000,CLE,AL,TOR,AL,1,8
2000,5/5/2000,SDN,NL,ARI,NL,3,5
2000,5/5/2000,PHI,NL,ATL,NL,5,6
2000,5/5/2000,PIT,NL,CHN,NL,4,2
2000,5/5/2000,SLN,NL,CIN,NL,2,3
2000,5/5/2000,NYN,NL,FLO,NL,4,1
2000,5/5/2000,HOU,NL,LAN,NL,2,3
2000,5/5/2000,MON,NL,MIL,NL,10,2
2000,5/5/2000,COL,NL,SFN,NL,0,5
2000,5/5/2000,TBA,AL,BOS,AL,3,5
2000,5/5/2000,CHA,AL,KCA,AL,1,5
2000,5/5/2000,DET,AL,MIN,AL,10,8
2000,5/5/2000,BAL,AL,NYA,AL,10,12
2000,5/5/2000,ANA,AL,SEA,AL,6,5
2000,5/5/2000,OAK,AL,TEX,AL,16,17
2000,5/5/2000,CLE,AL,TOR,AL,10,11
2000,5/6/2000,SDN,NL,ARI,NL,5,10
2000,5/6/2000,PHI,NL,ATL,NL,6,0
2000,5/6/2000,PIT,NL,CHN,NL,11,9
2000,5/6/2000,SLN,NL,CIN,NL,3,1
2000,5/6/2000,NYN,NL,FLO,NL,1,9
2000,5/6/2000,HOU,NL,LAN,NL,6,9
2000,5/6/2000,MON,NL,MIL,NL,3,2
2000,5/6/2000,COL,NL,SFN,NL,0,6
2000,5/6/2000,TBA,AL,BOS,AL,1,0
2000,5/6/2000,CHA,AL,KCA,AL,5,11
2000,5/6/2000,DET,AL,MIN,AL,1,6
2000,5/6/2000,BAL,AL,NYA,AL,1,3
2000,5/6/2000,ANA,AL,SEA,AL,0,1
2000,5/6/2000,OAK,AL,TEX,AL,10,11
2000,5/6/2000,CLE,AL,TOR,AL,8,6
2000,5/7/2000,SDN,NL,ARI,NL,1,8
2000,5/7/2000,PHI,NL,ATL,NL,7,4
2000,5/7/2000,PIT,NL,CHN,NL,11,3
2000,5/7/2000,SLN,NL,CIN,NL,7,9
2000,5/7/2000,NYN,NL,FLO,NL,0,3
2000,5/7/2000,HOU,NL,LAN,NL,14,8
2000,5/7/2000,MON,NL,MIL,NL,4,9
2000,5/7/2000,TBA,AL,BOS,AL,7,9
2000,5/7/2000,CHA,AL,KCA,AL,8,12
2000,5/7/2000,DET,AL,MIN,AL,0,4
2000,5/7/2000,BAL,AL,NYA,AL,7,6
2000,5/7/2000,ANA,AL,SEA,AL,2,8
2000,5/7/2000,OAK,AL,TEX,AL,7,6
2000,5/7/2000,CLE,AL,TOR,AL,10,8
2000,5/8/2000,LAN,NL,ARI,NL,7,15
2000,5/8/2000,MIL,NL,CHN,NL,11,12
2000,5/8/2000,ATL,NL,FLO,NL,2,3
2000,5/8/2000,COL,NL,HOU,NL,3,1
2000,5/8/2000,SLN,NL,SFN,NL,4,6
2000,5/8/2000,OAK,AL,ANA,AL,8,9
2000,5/8/2000,CHA,AL,BOS,AL,2,3
2000,5/8/2000,KCA,AL,DET,AL,4,1
2000,5/8/2000,CLE,AL,MIN,AL,3,2
2000,5/8/2000,TBA,AL,NYA,AL,3,6
2000,5/8/2000,SEA,AL,TEX,AL,1,10
2000,5/8/2000,BAL,AL,TOR,AL,5,6
2000,5/9/2000,LAN,NL,ARI,NL,7,11
2000,5/9/2000,MIL,NL,CHN,NL,4,3
2000,5/9/2000,SDN,NL,CIN,NL,0,2
2000,5/9/2000,ATL,NL,FLO,NL,10,5
2000,5/9/2000,COL,NL,HOU,NL,8,13
2000,5/9/2000,PHI,NL,MON,NL,2,3
2000,5/9/2000,NYN,NL,PIT,NL,2,0
2000,5/9/2000,SLN,NL,SFN,NL,13,6
2000,5/9/2000,OAK,AL,ANA,AL,5,2
2000,5/9/2000,CHA,AL,BOS,AL,6,0
2000,5/9/2000,CLE,AL,MIN,AL,5,6
2000,5/9/2000,TBA,AL,NYA,AL,3,4
2000,5/9/2000,SEA,AL,TEX,AL,13,3
2000,5/9/2000,BAL,AL,TOR,AL,4,6
2000,5/10/2000,LAN,NL,ARI,NL,1,2
2000,5/10/2000,MIL,NL,CHN,NL,8,9
2000,5/10/2000,SDN,NL,CIN,NL,1,5
2000,5/10/2000,ATL,NL,FLO,NL,3,5
2000,5/10/2000,COL,NL,HOU,NL,1,5
2000,5/10/2000,PHI,NL,MON,NL,8,0
2000,5/10/2000,NYN,NL,PIT,NL,9,13
2000,5/10/2000,SLN,NL,SFN,NL,3,4
2000,5/10/2000,OAK,AL,ANA,AL,7,4
2000,5/10/2000,CHA,AL,BOS,AL,3,5
2000,5/10/2000,KCA,AL,DET,AL,6,0
2000,5/10/2000,CLE,AL,MIN,AL,9,10
2000,5/10/2000,SEA,AL,TEX,AL,6,7
